contourpy,1.2.1,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and macOS.
httptools,0.6.1,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and macOS.
jiter,0.5.0,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and macOS.
kiwisolver,1.4.5,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
numpy,2.2.4,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
oracledb,3.0.0,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and macOS.
polyleven,0.8,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
psutil,5.9.8,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
ujson,5.10.0,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
uvloop,0.19.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
watchfiles,0.21.0,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and macOS.
xxhash,3.4.1,0,The GraalPy team provides binary wheels of this package for Linux, Linux, and Windows.
