coolprop,8.0.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
ml-dtypes,0.5.4,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
rpds-py,0.27.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
rustworkx,0.17.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
numexpr,2.10.2,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
onnx,1.22.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
safetensors,0.7.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
scikit-image,0.26.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
cffi,2.0.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
argon2-cffi-bindings,25.1.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
polyleven,0.11.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
preshed,3.0.13,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
jq,1.12.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
lxml,6.1.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
uvloop,0.22.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
watchfiles,1.1.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
lz4,4.4.5,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
mmh3,5.2.1,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pynacl,1.6.2,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pyzmq,27.1.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
bcrypt,5.0.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
brotli,1.2.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pillow,12.3.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
matplotlib,3.11.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
orjson,3.11.5,0,The GraalPy team provides binary wheels of this package for Linux.
pandas,3.0.3,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pyarrow,24.0.0,0,The GraalPy team provides binary wheels of this package for Linux.
pyclipper,1.4.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
zstandard,0.25.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
cramjam,2.11.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
crc32c,2.8,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
scikit-learn,1.9.0,0,The GraalPy team provides binary wheels of this package for Linux.
tiktoken,0.13.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
css-inline,0.21.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
httptools,0.8.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pycryptodome,3.23.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
pycryptodomex,3.23.0,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
numpy,2.4.4,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
contourpy,1.3.3,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
wordcloud,1.9.6,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
zengl,2.7.2,0,The GraalPy team provides binary wheels of this package for Linux and Linux.
